anime_name;anime_url;image_path;created_at;updated_at
Kimi no Suizou wo Tabetai;https://animem.org/kimi-no-suizou-wo-tabetai;/img/anime_203.jpg;2022-06-07;2022-06-07
Konohana Kitan;https://animem.org/konohana-kitan;/img/anime_204.jpg;2022-06-07;2022-06-07
Kore wa Zombie Desu ka?;https://animem.org/kore-wa-zombie-desu-ka;/img/anime_205.jpg;2022-06-07;2022-06-07
Koroshi Ai;https://animem.org/Koroshi_Ai;/img/anime_206.jpg;2022-06-07;2022-06-07
Koukaku Kidoutai: Stand Alone Complex;https://animem.org/koukaku-kidoutai-stand-alone-complex;/img/anime_207.jpg;2022-06-07;2022-06-07
Koukyoushihen Eureka Seven;https://animem.org/koukyoushihen-eureka-seven;/img/anime_208.jpg;2022-06-07;2022-06-07
Koutetsujou no Kabaneri;https://animem.org/koutetsujou-no-kabaneri;/img/anime_209.jpg;2022-06-07;2022-06-07
Kuma Kuma Kuma Bear;https://animem.org/kuma-kuma-kuma-bear;/img/anime_210.jpg;2022-06-07;2022-06-07
Kumo Desu ga, Nani ka?;https://animem.org/kumo-desu-ga-nani-ka;/img/anime_211.jpg;2022-06-07;2022-06-07
Kunoichi Tsubaki no Mune no Uchi;https://animem.org/Kunoichi_Tsubaki_no_Mune_no_Uchi;/img/anime_212.jpg;2022-06-07;2022-06-07
Kuroko no Basket;https://animem.org/kuroko-no-basket;/img/anime_213.jpg;2022-06-07;2022-06-07
Kuroshitsuji;https://animem.org/kuroshitsuji;/img/anime_214.jpg;2022-06-07;2022-06-07
Kurozuka;https://animem.org/kurozuka;/img/anime_215.jpg;2022-06-07;2022-06-07
Kuusen Madoushi Kouhosei no Kyoukan;https://animem.org/kuusen-madoushi-kouhosei-no-kyoukan;/img/anime_216.jpg;2022-06-07;2022-06-07
Kuzu no Honkai;https://animem.org/kuzu-no-honkai;/img/anime_217.jpg;2022-06-07;2022-06-07
Kyokou Suiri;https://animem.org/kyokou-suiri;/img/anime_218.jpg;2022-06-07;2022-06-07
Kyou kara Maou!;https://animem.org/kyou-kara-maou;/img/anime_219.jpg;2022-06-07;2022-06-07
youkai no Kanata;https://animem.org/kyoukai-no-kanata;/img/anime_220.jpg;2022-06-07;2022-06-07
Kyoukai Senki Series;https://animem.org/Kyoukai_Senki_Series;/img/anime_221.jpg;2022-06-07;2022-06-07
Kyoukaisenjou no Horizon;https://animem.org/kyoukaisenjou-no-horizon;/img/anime_222.jpg;2022-06-07;2022-06-07
Kyuuketsuki Sugu Shinu;https://animem.org/kyuuketsuki-sugu-shinu;/img/anime_223.jpg;2022-06-07;2022-06-07
Kyuukyoku Shinka shita Full Dive RPG ga Genjitsu yori mo Kusoge Dattara;https://animem.org/kyuukyoku-shinka-shita-full-dive-rpg-ga-genjitsu-yori-mo-kusoge-dattara;/img/anime_224.jpg;2022-06-07;2022-06-07
Lapis Re:LiGHTs;https://animem.org/lapis-relights;/img/anime_225.jpg;2022-06-08;2022-06-08
Leadale no Daichi nite;https://animem.org/leadale-no-daichi-nite;/img/anime_226.jpg;2022-06-08;2022-06-08
Lie Huo Jiao Chou;https://animem.org/lie-huo-jiao-chou;/img/anime_227.jpg;2022-06-08;2022-06-08
Ling Yu;https://animem.org/ling-yu;/img/anime_228.jpg;2022-06-08;2022-06-08
Listeners;https://animem.org/listeners;/img/anime_229.jpg;2022-06-08;2022-06-08
Little Witch Academia (TV);https://animem.org/little-witch-academia-tv;/img/anime_230.jpg;2022-06-08;2022-06-08
Log Horizon;https://animem.org/log-horizon;/img/anime_231.jpg;2022-06-08;2022-06-08
Love All Play;https://animem.org/Love_All_Play;/img/anime_232.jpg;2022-06-08;2022-06-08
Love Hina;https://animem.org/love-hina;/img/anime_233.jpg;2022-06-08;2022-06-08
Love Lab;https://animem.org/love-lab;/img/anime_234.jpg;2022-06-08;2022-06-08
Love Live! School Idol Project Series;https://animem.org/Love_Live_School_Idol_Project_Series;/img/anime_235.jpg;2022-06-08;2022-06-08
Lovely★Complex;https://animem.org/lovely-complex;/img/anime_236.jpg;2022-06-08;2022-06-08
Machikado Mazoku Series;https://animem.org/Machikado_Mazoku_Series;/img/anime_237.jpg;2022-06-08;2022-06-08
